"id" "total.count" "rat.count" "ckr.count" "xc" "yc" "market.dist" "sewer.dist" "catfeeding.dist"
9 6 3 3 440750 4483750 1048.1875 127 127
10 8 1 7 441750 4483750 872.744186046512 102.127906976744 333.53488372093
11 7 1 6 441750 4483500 635.685185185185 153.759259259259 156.333333333333
20 28 17 11 441500 4483000 323.130434782609 70.2608695652174 167.669565217391
40 5 0 5 444750 4482250 959 147 638
44 20 7 13 439000 4481750 236.316455696203 54.6075949367089 89.7341772151899
60 11 4 7 440500 4481250 437.68085106383 125.276595744681 96.0851063829787
69 8 5 3 439250 4481000 322.444444444444 281.333333333333 319.777777777778
107 6 5 1 440250 4480250 626.802547770701 70.7388535031847 185.624203821656
115 9 2 7 450000 4480250 1101.70731707317 57.609756097561 322.951219512195
128 7 1 6 450000 4480000 1269.57971014493 246.753623188406 383.173913043478
129 5 0 5 450250 4480000 1111.78181818182 173.527272727273 180.618181818182
131 5 3 2 439250 4479750 328.197802197802 215.967032967033 83.0659340659341
143 12 8 4 440250 4479500 417.876923076923 112.3 50.3
167 7 6 1 445500 4479250 279.139534883721 103.325581395349 59.8139534883721
192 5 2 3 443000 4478750 185.695652173913 273.478260869565 268.260869565217
219 18 6 12 434750 4478250 171.93023255814 414.255813953488 653.03488372093
224 12 9 3 440500 4478250 213.267326732673 135.079207920792 84.3069306930693
252 9 0 9 449750 4478000 540.357142857143 387.642857142857 387.642857142857
260 7 1 6 448500 4477750 183.333333333333 82.4838709677419 85.010752688172
277 8 7 1 445500 4477250 233.905405405405 99.5945945945946 167.040540540541
294 5 4 1 442750 4476750 481.607142857143 131.267857142857 105.982142857143
298 23 4 19 444000 4476750 169.045454545455 205.727272727273 413.727272727273
375 5 2 3 440000 4475750 467.814814814815 234.20987654321 183.333333333333
395 22 12 10 438250 4475500 227.846153846154 38.9230769230769 32.8846153846154
413 25 6 19 447750 4475500 276.876923076923 84.1384615384615 83.0307692307692
432 10 2 8 446250 4475250 611.290322580645 67.3225806451613 91.5806451612903
548 27 25 2 437000 4473250 84.7461538461538 60.5461538461538 108.646153846154
564 6 6 0 443500 4473250 614.714285714286 45.4285714285714 87.1428571428571
587 5 1 4 440500 4473000 167.532467532468 96.5844155844156 86.2467532467532
590 5 2 3 442250 4473000 231.692307692308 173.230769230769 173.230769230769
593 5 2 3 443750 4473000 343.105263157895 87.0131578947368 87.5394736842105
601 13 2 11 446500 4473000 759.5 86.8333333333333 138.666666666667
607 9 0 9 436250 4472750 512.288888888889 73 336.8
610 5 4 1 437000 4472750 302.333333333333 120.222222222222 88
614 16 8 8 440500 4472750 150.269841269841 80.2857142857143 81.2222222222222
651 11 6 5 443500 4472500 383.252427184466 140.621359223301 124.553398058252
657 18 6 12 445750 4472500 247.34328358209 72.1791044776119 132.835820895522
